unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid
SK-N-BE(2),NA,SK-N-BE(2),NA,NA,NA,NA,NA,SK-N-BE_2_,NA,NA,SKNBE2,SK-N-BE(2),NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,autonomic_ganglia,autonomic_ganglia,Brain,NA
SK-N-DZ,SK-N-DZ,SK-N-DZ,SKNDZ,NA,SK-N-DZ,NA,SK-N-DZ,SK-N-DZ,SK-N-DZ,NA,SKNDZ,SK-N-DZ,SK-N-DZ,autonomic_ganglia,autonomic_ganglia,brain,NA,Brain,NA,Brain,autonomic_ganglia,nervous_system ,NA,autonomic_ganglia,autonomic_ganglia,autonomic_ganglia,Brain,autonomic_ganglia
SK-N-FI,SK-N-FI,SK-N-FI,SKNF1,NA,SK-N-FI,NA,SK-N-FI,SK-N-FI,SK-N-FI,NA,SKNFI,SK-N-FI,SK-N-FI,autonomic_ganglia,autonomic_ganglia,central_nervous_system,NA,Brain,NA,Brain,autonomic_ganglia,nervous_system ,NA,autonomic_ganglia,autonomic_ganglia,autonomic_ganglia,Brain,autonomic_ganglia
SK-N-MC,NA,SK-N-MC,NA,NA,NA,NA,NA,SK-N-MC,NA,NA,SKNMC,NA,NA,NA,bone,NA,NA,NA,NA,NA,bone,NA,NA,bone,bone,bone,NA,NA
SK-N-SH,NA,SK-N-SH,NA,NA,SK-N-SH,NA,SK-N-SH,NA,SK-N-SH,NA,SKNSH,SK-N-SH,SK-N-SH,NA,autonomic_ganglia,NA,NA,Brain,NA,Brain,NA,NA,NA,autonomic_ganglia,autonomic_ganglia,autonomic_ganglia,Brain,autonomic_ganglia
SK-NEP-1,SK-NEP-1,NA,SKNEP1,NA,NA,NA,SK-NEP-1,NA,SK-NEP-1,NA,NA,NA,NA,bone,NA,kidney,NA,NA,NA,Kidney,NA,kidney ,NA,bone,bone,NA,NA,bone
SK-OV-3,SK-OV-3,SK-OV-3,SKOV3,NA,SK-OV-3,SKOV3,SK-OV-3,SK-OV-3,SK-OV-3,NA,SKOV3,SK-OV-3,SK-OV-3,ovary,ovary,ovary,NA,Ovary,OVARY,Ovary,ovary,urogenital_system ,NA,ovary,ovary,ovary,Ovary,ovary
SK-PN-DW,SK-PN-DW,NA,NA,NA,NA,NA,SK-PN-DW,NA,SK-PN-DW,NA,NA,NA,SK-PN-DW,bone,NA,NA,NA,NA,NA,Bone,NA,bone ,NA,bone,bone,NA,NA,bone
SK-RC 31,NA,SK-RC 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SK-RC-20,NA,SK-RC-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SK-UT-1,SK-UT-1,SK-UT-1,SKUT1,NA,NA,NA,SK-UT-1,SK-UT-1,SK-UT-1,NA,SKUT1,NA,SK-UT-1,soft_tissue,soft_tissue,uterus,NA,NA,NA,Muscle,soft_tissue,soft_tissue ,NA,soft_tissue,soft_tissue,soft_tissue,NA,soft_tissue
SK23,NA,NA,NA,NA,SK23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA
SKG-IIIa,SKG-IIIa,NA,NA,NA,NA,NA,SKG-IIIa,NA,SKG-IIIa,NA,NA,SKG-IIIa,SKG-IIIa,cervix,NA,NA,NA,NA,NA,Cervix,NA,urogenital_system ,NA,cervix,cervix,NA,Cervix,cervix
SKM-1,SKM-1,SKM-1,NA,NA,SKM-1,SKM1,SKM-1,SKM-1,SKM-1,NA,SKM1,SKM-1,SKM-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,haematopoietic_and_lymphoid_tissue
SKN,NA,NA,NA,NA,NA,NA,SKN,NA,SKN,NA,NA,NA,SKN,NA,NA,NA,NA,NA,NA,Uterus,NA,NA,NA,soft_tissue,soft_tissue,NA,NA,soft_tissue
SKN-3,NA,NA,NA,NA,NA,NA,SKN-3,NA,SKN-3,NA,NA,NA,SKN-3,NA,NA,NA,NA,NA,NA,Head & Neck,NA,NA,NA,NA,head_and_neck,NA,NA,head_and_neck
SLR 20,NA,SLR 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SLR 21,NA,SLR 21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SLR 23,NA,SLR 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SLR 24,NA,SLR 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SLR 25,NA,SLR 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SLR 26,NA,SLR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA
SLVL,NA,NA,NA,NA,NA,NA,SLVL,NA,SLVL,NA,NA,NA,SLVL,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
SN12C,SN12C,NA,SN12C,NA,NA,NA,SN12C,NA,SN12C,NA,NA,NA,SN12C,kidney,NA,kidney,NA,NA,NA,Kidney,NA,kidney ,NA,kidney,kidney,NA,NA,kidney
SNB19,SNB19,SNB-19,SNB19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,central_nervous_system,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA
SNB75,SNB75,NA,SNB75,NA,NA,NA,SNB75,SNB75,SNB75,NA,SNB75,NA,SNB75,central_nervous_system,NA,cns,NA,NA,NA,CNS,central_nervous_system,nervous_system ,NA,central_nervous_system,central_nervous_system,NA,NA,central_nervous_system
SNG-M,SNG-M,SNG-M,NA,NA,NA,SNGM,SNG-M,SNG-M,NA,NA,SNGM,SNG-M,SNG-M,endometrium,endometrium,NA,NA,NA,ENDOMETRIUM,endometrium,endometrium,NA,NA,endometrium,endometrium,endometrium,Uterus,endometrium
SNU-1,NA,NA,SNU1,NA,SNU-1,NA,NA,NA,NA,NA,SNU1,NA,NA,NA,NA,stomach,NA,Stomach,NA,NA,NA,NA,NA,stomach,stomach,stomach,NA,NA
SNU-1033,NA,SNU-1033,NA,NA,NA,NA,NA,SNU-1033,NA,NA,SNU1033,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA
SNU-1040,NA,SNU-1040,NA,NA,NA,SNU1040,SNU-1040,SNU-1040,SNU-1040,NA,NA,NA,SNU-1040,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,large_intestine,large_intestine,NA,NA,large_intestine
SNU-1041,NA,SNU-1041,NA,NA,NA,NA,NA,SNU-1041,NA,NA,SNU1041,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
SNU-1066,NA,SNU-1066,NA,NA,NA,NA,NA,SNU-1066,NA,NA,SNU1066,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
SNU-1076,NA,SNU-1076,NA,NA,NA,NA,NA,SNU-1076,NA,NA,SNU1076,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
SNU-1077,NA,SNU-1077,NA,NA,NA,NA,NA,SNU-1077,NA,NA,SNU1077,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,endometrium,endometrium,NA,NA
SNU-1079,NA,SNU-1079,NA,NA,NA,NA,NA,SNU-1079,NA,NA,SNU1079,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,biliary_tract,NA,NA,biliary_tract,biliary_tract,biliary_tract,NA,NA
SNU-1105,NA,SNU-1105,NA,NA,NA,NA,NA,SNU-1105,NA,NA,SNU1105,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA
SNU-119,NA,SNU-119,NA,NA,NA,NA,NA,SNU-119,NA,NA,SNU119,NA,NA,NA,ovary,NA,NA,NA,NA,NA,ovary,NA,NA,NA,ovary,ovary,NA,NA
SNU-1196,NA,SNU-1196,NA,NA,NA,NA,NA,SNU-1196,NA,NA,SNU1196,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,biliary_tract,NA,NA,biliary_tract,biliary_tract,biliary_tract,NA,NA
SNU-1197,NA,SNU-1197,NA,NA,NA,NA,NA,SNU-1197,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,large_intestine,NA,NA,large_intestine,large_intestine,NA,NA,NA
SNU-1214,NA,SNU-1214,NA,NA,NA,NA,NA,SNU-1214,NA,NA,SNU1214,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
SNU-1272,NA,SNU-1272,NA,NA,NA,NA,NA,SNU-1272,NA,NA,SNU1272,NA,NA,NA,kidney,NA,NA,NA,NA,NA,kidney,NA,NA,NA,kidney,kidney,NA,NA
SNU-16,NA,NA,SNU16,NA,SNU-16,NA,NA,NA,NA,NA,SNU16,NA,NA,NA,NA,stomach,NA,Stomach,NA,NA,NA,NA,NA,stomach,stomach,stomach,NA,NA
SNU-175,NA,SNU-175,NA,NA,NA,SNU175,SNU-175,SNU-175,NA,NA,SNU175,NA,SNU-175,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
SNU-182,NA,SNU-182,SNU182,NA,SNU-182,NA,SNU-182,SNU-182,SNU-182,NA,SNU182,SNU-182,SNU-182,NA,liver,liver,NA,Liver,NA,Liver,liver,NA,NA,liver,liver,liver,Liver,liver
SNU-201,NA,SNU-201,NA,NA,NA,NA,NA,SNU-201,NA,NA,SNU201,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA
SNU-213,NA,SNU-213,NA,NA,NA,NA,NA,SNU-213,NA,NA,SNU213,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,pancreas,NA,NA,pancreas,pancreas,pancreas,NA,NA
SNU-216,NA,SNU-216,NA,NA,SNU-216,NA,NA,SNU-216,NA,NA,SNU216,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,stomach,NA,NA,stomach,stomach,stomach,NA,NA
SNU-245,NA,SNU-245,NA,NA,NA,NA,NA,SNU-245,NA,NA,SNU245,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,biliary_tract,NA,NA,biliary_tract,biliary_tract,biliary_tract,NA,NA
SNU-283,NA,SNU-283,NA,NA,NA,NA,SNU-283,NA,SNU-283,NA,NA,NA,SNU-283,NA,large_intestine,NA,NA,NA,NA,large_intestine,NA,NA,NA,large_intestine,large_intestine,NA,NA,large_intestine
SNU-308,NA,SNU-308,NA,NA,NA,NA,NA,SNU-308,NA,NA,SNU308,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,biliary_tract,NA,NA,biliary_tract,biliary_tract,biliary_tract,NA,NA
SNU-324,NA,SNU-324,NA,NA,NA,NA,NA,SNU-324,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,pancreas,NA,NA,pancreas,pancreas,NA,NA,NA
SNU-349,NA,SNU-349,NA,NA,NA,NA,NA,SNU-349,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,kidney,NA,NA,NA,kidney,NA,NA,NA
SNU-387,SNU-387,SNU-387,SNU387,NA,SNU-387,NA,SNU-387,SNU-387,SNU-387,NA,SNU387,SNU-387,SNU-387,liver,liver,liver,NA,Liver,NA,Liver,liver,digestive_system ,NA,liver,liver,liver,Liver,liver
SNU-398,NA,SNU-398,SNU398,NA,SNU-398,SNU398,SNU-398,SNU-398,SNU-398,NA,SNU398,SNU-398,SNU-398,NA,liver,liver,NA,Liver,LIVER,Liver,liver,NA,NA,liver,liver,liver,Liver,liver
SNU-407,NA,SNU-407,NA,NA,NA,NA,SNU-407,SNU-407,SNU-407,NA,SNU407,NA,SNU-407,NA,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
SNU-410,NA,SNU-410,NA,NA,NA,NA,NA,SNU-410,NA,NA,SNU410,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,pancreas,NA,NA,pancreas,pancreas,pancreas,NA,NA
SNU-423,SNU-423,SNU-423,SNU423,NA,SNU-423,NA,SNU-423,SNU-423,SNU-423,NA,SNU423,SNU-423,SNU-423,liver,liver,liver,NA,Liver,NA,Liver,liver,digestive_system ,NA,liver,liver,liver,Liver,liver
SNU-449,SNU-449,SNU-449,SNU449,NA,SNU-449,SNU449,SNU-449,SNU-449,SNU-449,NA,SNU449,SNU-449,SNU-449,liver,liver,liver,NA,Liver,LIVER,Liver,liver,digestive_system ,NA,liver,liver,liver,Liver,liver
SNU-46,NA,SNU-46,NA,NA,NA,NA,NA,NA,NA,NA,SNU46,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
SNU-466,NA,SNU-466,NA,NA,NA,NA,NA,SNU-466,NA,NA,SNU466,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA
SNU-475,SNU-475,SNU-475,SNU475,NA,SNU-475,NA,SNU-475,SNU-475,SNU-475,NA,SNU475,SNU-475,SNU-475,liver,liver,liver,NA,Liver,NA,Liver,liver,digestive_system ,NA,liver,liver,liver,Liver,liver
SNU-478,NA,SNU-478,NA,NA,NA,NA,NA,SNU-478,NA,NA,SNU478,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,pancreas,NA,NA,pancreas,pancreas,biliary_tract,NA,NA
SNU-484,NA,NA,NA,NA,SNU-484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stomach,NA,NA,NA,NA,NA,stomach,stomach,NA,NA,NA
SNU-489,NA,SNU-489,NA,NA,NA,NA,NA,SNU-489,NA,NA,SNU489,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA
SNU-5,NA,NA,SNU5,NA,SNU-5,NA,NA,NA,NA,NA,SNU5,NA,NA,NA,NA,stomach,NA,Stomach,NA,NA,NA,NA,NA,stomach,stomach,stomach,NA,NA
SNU-503,NA,SNU-503,NA,NA,NA,NA,NA,SNU-503,NA,NA,SNU503,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA
SNU-520,NA,SNU-520,NA,NA,NA,NA,NA,SNU-520,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA,stomach,NA,NA,stomach,stomach,NA,NA,NA
SNU-601,NA,SNU-601,NA,NA,SNU-601,NA,NA,SNU-601,NA,NA,SNU601,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,stomach,NA,NA,stomach,stomach,stomach,NA,NA
SNU-61,NA,SNU-61,NA,NA,NA,SNU61,SNU-61,SNU-61,SNU-61,NA,SNU61,NA,SNU-61,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
SNU-620,NA,SNU-620,NA,NA,SNU-620,NA,NA,SNU-620,NA,NA,SNU620,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,stomach,NA,NA,stomach,stomach,stomach,NA,NA
SNU-626,NA,SNU-626,NA,NA,NA,NA,NA,SNU-626,NA,NA,SNU626,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA
SNU-638,NA,NA,NA,NA,SNU-638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stomach,NA,NA,NA,NA,NA,stomach,stomach,NA,NA,NA
SNU-668,NA,SNU-668,NA,NA,SNU-668,NA,NA,SNU-668,NA,NA,SNU668,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,stomach,NA,NA,stomach,stomach,stomach,NA,NA
SNU-685,NA,SNU-685,NA,NA,NA,NA,NA,SNU-685,NA,NA,SNU685,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,endometrium,endometrium,NA,NA
SNU-719,NA,SNU-719,NA,NA,SNU-719,NA,NA,SNU-719,NA,NA,SNU719,NA,NA,NA,stomach,NA,NA,Stomach,NA,NA,stomach,NA,NA,stomach,stomach,stomach,NA,NA
SNU-738,NA,SNU-738,NA,NA,NA,NA,NA,SNU-738,NA,NA,SNU738,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA
SNU-761,NA,SNU-761,NA,NA,NA,NA,NA,SNU-761,NA,NA,SNU761,NA,NA,NA,liver,NA,NA,NA,NA,NA,liver,NA,NA,NA,liver,liver,NA,NA
SNU-8,NA,SNU-8,NA,NA,NA,NA,NA,SNU-8,NA,NA,SNU8,NA,NA,NA,ovary,NA,NA,NA,NA,NA,ovary,NA,NA,NA,ovary,ovary,NA,NA
SNU-81,NA,SNU-81,NA,NA,NA,SNU81,SNU-81,SNU-81,NA,NA,SNU81,NA,SNU-81,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine
SNU-840,NA,SNU-840,NA,NA,NA,SNU840,NA,SNU-840,NA,NA,SNU840,NA,NA,NA,ovary,NA,NA,NA,OVARY,NA,ovary,NA,NA,NA,ovary,ovary,NA,NA
SNU-869,NA,SNU-869,NA,NA,NA,NA,NA,SNU-869,NA,NA,SNU869,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,pancreas,NA,NA,pancreas,pancreas,biliary_tract,NA,NA
SNU-878,NA,SNU-878,NA,NA,NA,NA,NA,SNU-878,NA,NA,SNU878,NA,NA,NA,liver,NA,NA,NA,NA,NA,liver,NA,NA,NA,liver,liver,NA,NA
SNU-886,NA,SNU-886,NA,NA,NA,NA,NA,SNU-886,NA,NA,SNU886,NA,NA,NA,liver,NA,NA,NA,NA,NA,liver,NA,NA,NA,liver,liver,NA,NA
SNU-899,NA,SNU-899,NA,NA,NA,NA,NA,SNU-899,NA,NA,SNU899,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA
SNU-C1,SNU-C1,SNU-C1,NA,NA,SNU-C1,NA,SNU-C1,SNU-C1,SNU-C1,NA,SNUC1,SNU-C1,SNU-C1,large_intestine,large_intestine,NA,NA,Colon,NA,large_intestine,large_intestine,digestive_system ,NA,large_intestine,large_intestine,large_intestine,Colon,large_intestine
SNU-C2A,NA,SNU-C2A,NA,NA,NA,SNUC2A,NA,SNU-C2A,NA,NA,SNUC2A,NA,NA,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,NA,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA
SNU-C2B,SNU-C2B,SNU-C2B,NA,NA,NA,NA,SNU-C2B,NA,SNU-C2B,NA,NA,NA,SNU-C2B,large_intestine,NA,NA,NA,NA,NA,Intestine,NA,digestive_system ,NA,large_intestine,large_intestine,NA,NA,large_intestine
SNU-C4,NA,SNU-C4,NA,NA,NA,SNUC4,NA,SNU-C4,NA,NA,SNUC4,NA,NA,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,NA,large_intestine,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA
SNU-C5,NA,SNU-C5,NA,NA,NA,SNUC5,SNU-C5,SNU-C5,SNU-C5,NA,SNUC5,NA,SNU-C5,NA,large_intestine,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine
Sq-1,NA,Sq-1,NA,NA,NA,SQ1,NA,Sq-1,NA,NA,SQ1,NA,NA,NA,lung,NA,NA,NA,LUNG,NA,lung,NA,NA,lung,lung,lung,NA,NA
SR,SR,SR-786,SR,NA,SR,NA,SR,SR-786,NA,NA,NA,SR,SR,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,Lymphoid,haematopoietic_and_lymphoid_tissue
SR-786,NA,NA,NA,NA,SR-786,NA,NA,NA,NA,NA,SR786,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA
ST486,ST486,ST486,ST486,NA,NA,NA,ST486,ST486,ST486,NA,ST486,NA,ST486,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,blood ,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue
STS-0421,NA,NA,NA,NA,NA,NA,STS-0421,NA,STS-0421,NA,NA,NA,STS-0421,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,soft_tissue,NA,NA,soft_tissue
SU-DHL-1,SU-DHL-1,SU-DHL-1,NA,NA,SU-DHL-1,NA,SU-DHL-1,SU-DHL-1,NA,NA,SUDHL1,SU-DHL-1,SU-DHL-1,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue
SU-DHL-10,NA,SU-DHL-10,SUDHL10,NA,SU-DHL-10,NA,SU-DHL-10,SU-DHL-10,SU-DHL-10,NA,SUDHL10,SU-DHL-10,SU-DHL-10,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,Pleura,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lung,haematopoietic_and_lymphoid_tissue
SU-DHL-16,NA,NA,SUDHL16,NA,SU-DHL-16,NA,SU-DHL-16,NA,SU-DHL-16,NA,NA,NA,SU-DHL-16,NA,NA,hematopoietic_and_lymphatic_system,NA,Lymph Node,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
SU-DHL-4,NA,SU-DHL-4,NA,NA,SU-DHL-4,SUDHL4,SU-DHL-4,SU-DHL-4,SU-DHL-4,NA,SUDHL4,SU-DHL-4,SU-DHL-4,NA,haematopoietic_and_lymphoid_tissue,NA,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue
SU-DHL-5,NA,SU-DHL-5,SUDHL5,NA,SU-DHL-5,SUDHL5,SU-DHL-5,SU-DHL-5,SU-DHL-5,NA,NA,NA,SU-DHL-5,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue
SU-DHL-6,NA,SU-DHL-6,SUDHL6,NA,SU-DHL-6,NA,SU-DHL-6,SU-DHL-6,SU-DHL-6,NA,SUDHL6,SU-DHL-6,SU-DHL-6,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue
SU-DHL-8,NA,SU-DHL-8,NA,NA,SU-DHL-8,NA,SU-DHL-8,SU-DHL-8,SU-DHL-8,NA,SUDHL8,SU-DHL-8,SU-DHL-8,NA,haematopoietic_and_lymphoid_tissue,NA,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue
SU.86.86,NA,SU.86.86,NA,NA,SU.86.86,NA,SU8686,SU.86.86,SU8686,NA,SU8686,SU.86.86,SU8686,NA,pancreas,NA,NA,Pancreas,NA,pancreas,pancreas,NA,NA,NA,pancreas,pancreas,Pancreas,pancreas
SUIT-2,NA,SUIT-2,NA,NA,SUIT-2,SUIT2,SUIT-2,SUIT-2,SUIT-2,NA,SUIT2,SUIT-2,SUIT-2,NA,pancreas,NA,NA,Pancreas,PANCREAS,Pancreas,pancreas,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas
